id,first_name,last_name,email,phone,user_type,password_hash,is_verified,email_verified,phone_verified,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,Nimal,Silva,nimal.silva@gmail.com,+94771234567,customer,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-15 10:00:00,2024-01-15 10:35:00
550e8400-e29b-41d4-a716-446655440002,Saman,Perera,saman.perera@gmail.com,+94772345678,tasker,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-16 08:30:00,2024-01-16 09:05:00
550e8400-e29b-41d4-a716-446655440003,Kumari,Fernando,kumari.fernando@gmail.com,+94773456789,customer,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-17 14:00:00,2024-01-17 14:25:00
550e8400-e29b-41d4-a716-446655440004,Rohan,Jayawardena,rohan.jay@gmail.com,+94774567890,tasker,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-18 10:30:00,2024-01-18 11:05:00
550e8400-e29b-41d4-a716-446655440005,Amaya,Wickramasinghe,amaya.w@gmail.com,+94775678901,customer,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-19 15:30:00,2024-01-19 16:05:00
550e8400-e29b-41d4-a716-446655440006,Kamal,De Silva,kamal.desilva@gmail.com,+94776789012,tasker,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-20 07:30:00,2024-01-20 08:05:00
550e8400-e29b-41d4-a716-446655440007,Dilini,Rajapaksa,dilini.r@gmail.com,+94777890123,customer,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-21 11:30:00,2024-01-21 12:05:00
550e8400-e29b-41d4-a716-446655440008,Prasad,Gunasekara,prasad.g@gmail.com,+94778901234,tasker,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-22 09:30:00,2024-01-22 10:05:00
550e8400-e29b-41d4-a716-446655440009,Sanduni,Mendis,sanduni.m@gmail.com,+94779012345,customer,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-23 14:30:00,2024-01-23 15:05:00
550e8400-e29b-41d4-a716-446655440010,Chaminda,Wijesinghe,chaminda.w@gmail.com,+94770123456,tasker,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-24 08:30:00,2024-01-24 09:05:00
550e8400-e29b-41d4-a716-446655440011,Malini,Rathnayake,malini.r@gmail.com,+94771234568,customer,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-25 12:30:00,2024-01-25 13:05:00
550e8400-e29b-41d4-a716-446655440012,Tharindu,Bandara,tharindu.b@gmail.com,+94772345679,tasker,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-26 10:30:00,2024-01-26 11:05:00
550e8400-e29b-41d4-a716-446655440013,Nadeesha,Samaraweera,nadeesha.s@gmail.com,+94773456780,customer,$2a$10$abcdefghijklmnopqrstuv,false,false,false,2024-01-27 14:00:00,2024-01-27 14:00:00
550e8400-e29b-41d4-a716-446655440014,Ruwan,Dissanayake,ruwan.d@gmail.com,+94774567891,tasker,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-28 09:30:00,2024-01-28 10:05:00
550e8400-e29b-41d4-a716-446655440015,Chathurika,Herath,chathurika.h@gmail.com,+94775678902,customer,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-29 15:30:00,2024-01-29 16:05:00
550e8400-e29b-41d4-a716-446655440016,Admin,User,admin@srilankatasks.com,+94771111111,admin,$2a$10$abcdefghijklmnopqrstuv,true,true,true,2024-01-01 00:00:00,2024-01-01 00:00:00

